year,events,events_with_book_odds,valid_quotes_strict,valid_quotes_date,markets,decisions,no_bet_temporal,no_bet_data,no_bet_model,no_bet_risk,bets,start,final,pnl,max_dd,status
2001,6329,373,0,5661,1,373,373,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2002,6173,391,0,8172,2,391,391,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2003,3967,359,0,10009,3,359,359,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2004,5534,392,0,12083,3,392,392,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2005,6340,374,0,10786,3,374,374,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2006,6959,394,0,10638,1,394,394,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2007,6585,371,0,10290,1,371,371,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2008,7148,379,0,11370,1,379,379,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2009,7054,378,0,11337,1,378,378,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2010,6925,374,0,11220,1,374,374,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2011,7410,377,0,11310,1,377,377,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2012,10597,571,0,17124,1,571,571,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2013,11729,707,0,19221,1,707,707,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2014,11993,380,0,12777,1,380,380,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2015,12352,380,0,11961,1,380,380,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2016,12100,378,0,7938,1,378,378,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2017,12364,401,0,8421,1,401,401,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2018,12042,371,0,7191,1,371,371,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2019,12018,385,0,8546,3,385,385,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2020,9562,342,0,8846,3,342,342,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2021,13127,411,0,10727,3,411,411,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2022,12168,366,0,9505,3,366,366,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2023,12501,418,0,10827,3,418,418,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2024,11148,374,0,10454,3,374,374,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2025,7368,378,0,12890,3,378,378,0,0,0,0,1000,,,,INSUFFICIENT_DATA
2026,4571,194,0,5645,3,194,194,0,0,0,0,1000,,,,INCOMPLETE
