market,events,valid_observations_date,valid_observations_strict,books,years,lifecycle,model_ready
1X2,10423,245616,0,20,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",TEMPORALLY_VALID,false
DC,0,0,0,0,,CATALOGUED,false
DNB,0,0,0,0,,CATALOGUED,false
AH,3420,16205,0,5,"2003,2004,2005,2019,2020,2021,2022,2023,2024,2025,2026",TEMPORALLY_VALID,false
EH,0,0,0,0,,CATALOGUED,false
OU05,0,0,0,0,,CATALOGUED,false
OU15,0,0,0,0,,CATALOGUED,false
OU25,3826,16152,0,4,"2002,2003,2004,2005,2019,2020,2021,2022,2023,2024,2025,2026",TEMPORALLY_VALID,false
OU35,0,0,0,0,,CATALOGUED,false
OU45,0,0,0,0,,CATALOGUED,false
TEAM_GOALS,0,0,0,0,,CATALOGUED,false
BTTS,0,0,0,0,,CATALOGUED,false
HT_1X2,0,0,0,0,,CATALOGUED,false
HT_OU,0,0,0,0,,CATALOGUED,false
CORNERS,0,0,0,0,,CATALOGUED,false
CARDS,0,0,0,0,,CATALOGUED,false
CS,0,0,0,0,,CATALOGUED,false
FIRST_GOAL,0,0,0,0,,CATALOGUED,false
PLAYER_GOALS,0,0,0,0,,CATALOGUED,false
PLAYER_SHOTS,0,0,0,0,,CATALOGUED,false
PLAYER_CARDS,0,0,0,0,,CATALOGUED,false
