period,market,n,market_brier,model_brier,market_logloss,model_logloss,significant,used_for_capital
2001,1X2,373,0.20876102990420156,0.22191607693842302,1.041593027082002,1.2310668095529982,false,false
2002,1X2,391,0.19797504925761183,0.2124088912039551,0.996328234905314,1.0566982452661084,false,false
2003,1X2,359,0.19747967429420832,0.2137702319361379,0.9922184432504687,1.0620368195630152,false,false
2004,1X2,392,0.20591364985149715,0.2175883939480316,1.0286555922792764,1.0790467584679007,false,false
2005,1X2,374,0.19400782466814312,0.21125939702776048,0.9772531995285899,1.0516743036331901,false,false
2006,1X2,394,0.1951705126224241,0.2063021963533481,0.9868392731458498,1.0308566884297434,false,false
2007,1X2,371,0.19317092091404894,0.2149466607669804,0.9739219033529714,1.0674643238316368,false,false
2008,1X2,379,0.2005094697535331,0.2169519289857374,1.003388736812341,1.0755258010309863,false,false
2009,1X2,378,0.18690949637332488,0.2087143737544332,0.9477365354899119,1.0413097991641629,false,false
2010,1X2,374,0.19436079736521555,0.21318600187655204,0.9763219217685363,1.0604738927362214,false,false
2011,1X2,377,0.19749597017411344,0.21477804260796315,0.9931600101433771,1.0666829892066523,false,false
2012,1X2,571,0.19908193358938783,0.21288856643142645,1.0004440595013395,1.0585662151664845,false,false
2013,1X2,707,0.1924353540781159,0.21525649960708762,0.9698639080196613,1.0684585428152664,false,false
2014,1X2,380,0.19128882790497573,0.2136220756326916,0.9683411984373401,1.0610477357554604,false,false
2015,1X2,380,0.20680268923162698,0.217812039391928,1.0331350044040462,1.078803968541215,false,false
2016,1X2,378,0.19529265442580446,0.21366828449084355,0.9832532299866275,1.0617667705469311,false,false
2017,1X2,401,0.1893499128462377,0.2128336357593789,0.9557362317444722,1.0581490796241126,false,false
2018,1X2,371,0.19111955563619862,0.21299542858280368,0.9634318930031701,1.0581230948213558,false,false
2019,1X2,385,0.1968472127512706,0.21325808338229388,0.9891321193439969,1.0589022569853246,false,false
2020,1X2,342,0.20216229055386356,0.21814086433678373,1.0150070004337577,1.0799064632405555,false,false
2021,1X2,411,0.19920500764452778,0.21943679693648865,0.9974249428579615,1.0842822274577433,false,false
2022,1X2,366,0.19395753338418642,0.21315018457683568,0.9748670543028509,1.0577748594010814,false,false
2023,1X2,418,0.1924400140278506,0.20965400980554982,0.9705316945798768,1.0436116089633272,false,false
2024,1X2,374,0.1948129258398989,0.21884875013332714,0.9753991839798171,1.083389670099829,false,false
2025,1X2,378,0.19788975052903754,0.2152401318847023,0.9906299824843087,1.066593943661437,false,false
2026,1X2,194,0.21055297398752026,0.22412180810864984,1.04616018910989,1.1074306493774495,false,false
