market,lifecycle,events,bets,brier,logloss,roi,max_dd,temporally_valid,model_ready,status
1X2,OBSERVED,10423,0,0.22191607693842302,1.2310668095529982,,,false,false,OBSERVED
DC,CATALOGUED,0,0,,,,,false,false,CATALOGUED
DNB,CATALOGUED,0,0,,,,,false,false,CATALOGUED
AH,OBSERVED,3420,0,,,,,false,false,OBSERVED
EH,CATALOGUED,0,0,,,,,false,false,CATALOGUED
OU05,CATALOGUED,0,0,,,,,false,false,CATALOGUED
OU15,CATALOGUED,0,0,,,,,false,false,CATALOGUED
OU25,OBSERVED,3826,0,,,,,false,false,OBSERVED
OU35,CATALOGUED,0,0,,,,,false,false,CATALOGUED
OU45,CATALOGUED,0,0,,,,,false,false,CATALOGUED
TEAM_GOALS,CATALOGUED,0,0,,,,,false,false,CATALOGUED
BTTS,CATALOGUED,0,0,,,,,false,false,CATALOGUED
HT_1X2,CATALOGUED,0,0,,,,,false,false,CATALOGUED
HT_OU,CATALOGUED,0,0,,,,,false,false,CATALOGUED
CORNERS,CATALOGUED,0,0,,,,,false,false,CATALOGUED
CARDS,CATALOGUED,0,0,,,,,false,false,CATALOGUED
CS,CATALOGUED,0,0,,,,,false,false,CATALOGUED
FIRST_GOAL,CATALOGUED,0,0,,,,,false,false,CATALOGUED
PLAYER_GOALS,CATALOGUED,0,0,,,,,false,false,CATALOGUED
PLAYER_SHOTS,CATALOGUED,0,0,,,,,false,false,CATALOGUED
PLAYER_CARDS,CATALOGUED,0,0,,,,,false,false,CATALOGUED
