year,competition,events,odds,exact_timestamp,date_only,strict,strict_ratio,research_ratio,observed
2000,B1,161,160,0,160,0,0,0.9937888198757764,true
2000,D1,162,162,0,162,0,0,1,true
2000,D2,162,157,0,157,0,0,0.9691358024691358,true
2000,E0,205,205,0,205,0,0,1,true
2000,E1,303,279,0,279,0,0,0.9207920792079208,true
2000,E2,274,219,0,219,0,0,0.7992700729927007,true
2000,F1,197,195,0,195,0,0,0.9898477157360406,true
2000,F2,239,0,0,0,0,0,0,true
2000,I1,108,107,0,107,0,0,0.9907407407407407,true
2000,I2,170,109,0,109,0,0,0.6411764705882353,true
2000,N1,160,159,0,159,0,0,0.99375,true
2000,P1,135,132,0,132,0,0,0.9777777777777777,true
2000,SP1,159,159,0,159,0,0,1,true
2000,SP2,197,103,0,103,0,0,0.5228426395939086,true
2000,T1,162,64,0,64,0,0,0.3950617283950617,true
2001,B1,298,219,0,219,0,0,0.7348993288590604,true
2001,D1,306,233,0,233,0,0,0.761437908496732,true
2001,D2,306,233,0,233,0,0,0.761437908496732,true
2001,E0,373,291,0,291,0,0,0.7801608579088471,true
2001,E1,569,431,0,431,0,0,0.7574692442882249,true
2001,E2,574,423,0,423,0,0,0.7369337979094077,true
2001,E3,345,190,0,190,0,0,0.5507246376811594,true
2001,F1,274,192,0,192,0,0,0.7007299270072993,true
2001,F2,346,236,0,236,0,0,0.6820809248554913,true
2001,I1,341,278,0,278,0,0,0.8152492668621701,true
2001,I2,389,268,0,268,0,0,0.6889460154241646,true
2001,N1,313,235,0,235,0,0,0.7507987220447284,true
2001,P1,314,241,0,241,0,0,0.767515923566879,true
2001,SC0,129,75,0,75,0,0,0.5813953488372093,true
2001,SC1,99,49,0,49,0,0,0.494949494949495,true
2001,SC2,86,36,0,36,0,0,0.4186046511627907,true
2001,SC3,86,34,0,34,0,0,0.3953488372093023,true
2001,SP1,400,316,0,316,0,0,0.79,true
2001,SP2,485,356,0,356,0,0,0.734020618556701,true
2001,T1,296,224,0,224,0,0,0.7567567567567568,true
2002,B1,264,259,0,259,0,0,0.9810606060606061,true
2002,D1,297,296,0,296,0,0,0.9966329966329966,true
2002,D2,271,267,0,267,0,0,0.985239852398524,true
2002,E0,391,390,0,390,0,0,0.9974424552429667,true
2002,E1,541,536,0,536,0,0,0.9907578558225508,true
2002,E2,544,538,0,538,0,0,0.9889705882352942,true
2002,E3,546,538,0,538,0,0,0.9853479853479854,true
2002,F1,268,266,0,266,0,0,0.9925373134328358,true
2002,F2,289,269,0,269,0,0,0.9307958477508651,true
2002,I1,297,285,0,285,0,0,0.9595959595959596,true
