year,events,decisions,bets,start,end,pnl,roi,max_dd,status
2001,0,0,0,1000,,,,,INSUFFICIENT_DATA
2002,0,0,0,1000,,,,,INSUFFICIENT_DATA
2003,0,0,0,1000,,,,,INSUFFICIENT_DATA
2004,0,0,0,1000,,,,,INSUFFICIENT_DATA
2005,0,0,0,1000,,,,,INSUFFICIENT_DATA
2006,0,0,0,1000,,,,,INSUFFICIENT_DATA
2007,0,0,0,1000,,,,,INSUFFICIENT_DATA
2008,0,0,0,1000,,,,,INSUFFICIENT_DATA
2009,0,0,0,1000,,,,,INSUFFICIENT_DATA
2010,0,0,0,1000,,,,,INSUFFICIENT_DATA
2011,0,0,0,1000,,,,,INSUFFICIENT_DATA
2012,0,0,0,1000,,,,,INSUFFICIENT_DATA
2013,0,0,0,1000,,,,,INSUFFICIENT_DATA
2014,0,0,0,1000,,,,,INSUFFICIENT_DATA
2015,2381,2381,834,1000,456.64430180753317,-543.3556981924669,-0.5433556981924669,0.5523328884066496,VALID
2016,8118,8118,3249,1000,113.62394109875592,-886.376058901244,-0.886376058901244,0.9165454958745913,VALID
2017,0,0,0,1000,,,,,INSUFFICIENT_DATA
2018,0,0,0,1000,,,,,INSUFFICIENT_DATA
2019,0,0,0,1000,,,,,INSUFFICIENT_DATA
2020,0,0,0,1000,,,,,INSUFFICIENT_DATA
2021,0,0,0,1000,,,,,INSUFFICIENT_DATA
2022,0,0,0,1000,,,,,INSUFFICIENT_DATA
2023,0,0,0,1000,,,,,INSUFFICIENT_DATA
2024,0,0,0,1000,,,,,INSUFFICIENT_DATA
2025,0,0,0,1000,,,,,INSUFFICIENT_DATA
2026,0,0,0,1000,,,,,INCOMPLETE
