model,partition,n,brier,logloss,ece,cal_slope,hit_rate
market_devig,TRAIN,3647,0.19888470592669844,0.9976041526516752,0.017025191848833145,1.0593252443621242,0.5020564847820126
market_devig,VALIDATION,2295,0.1950350781006399,0.9824072298270807,0.015526457696034049,1.054212927471308,0.5206971677559913
market_devig,TEST,1756,0.19877751909290076,0.9963548182157216,0.01273314555740637,1.0053520899441266,0.505125284738041
market_devig,HOLDOUT,2801,0.1975166941913053,0.9915728355283715,0.02767421832256126,1.0111119066872272,0.5051767225990718
frequency,TRAIN,3647,0.21761185619465287,1.0918032087960639,0.0030972946220240902,-0.3828725382290523,0.43049081436797365
frequency,VALIDATION,2295,0.21462787465682537,1.0655342425929826,0.021091969349979922,1.799897538908824,0.4553376906318083
frequency,TEST,1756,0.21519892597634244,1.0689390489403277,0.013171757573759602,-11.966661801953931,0.45671981776765375
frequency,HOLDOUT,2801,0.2155575775845094,1.0699729823726192,0.0040218133026933,-61.899678920107554,0.44912531238843273
elo,TRAIN,3647,0.21675588139201135,1.0747772929471828,0.020025282415186835,2.3486153198783684,0.42061968741431316
elo,VALIDATION,2295,0.21275975568442926,1.058253696709089,0.044067082850636305,2.0485564511936873,0.4605664488017429
elo,TEST,1756,0.21968010294936277,1.0876703101291165,0.02421940319932822,1.0352013086275202,0.4134396355353075
elo,HOLDOUT,2801,0.21532343507880888,1.0694500418313202,0.018053212552561763,1.6469174901727033,0.4287754373438058
form,TRAIN,3647,0.21631653767117556,1.0868505132847945,0.01228907456910146,1.0965834251997055,0.43131340828077874
form,VALIDATION,2295,0.21226075208617393,1.056598901099227,0.04238007488381266,1.9981442122891782,0.465359477124183
form,TEST,1756,0.21645527676417947,1.0744459436268095,0.016665689187222624,0.3856497247653728,0.4458997722095672
form,HOLDOUT,2801,0.2137019612486399,1.0634788955495937,0.026197652668019707,1.8383709611308798,0.45947875758657625
poisson,TRAIN,2444,0.2191355265088231,1.0878707253417665,0.06914295047867743,0.5972287548152503,0.42921440261865795
poisson,VALIDATION,1949,0.21634792475518486,1.076036525466078,0.05408558176888879,0.6883771104626738,0.4494612621857363
poisson,TEST,1276,0.22690519509020815,1.120754430872122,0.08966209358873056,0.2739569015853529,0.3996865203761755
poisson,HOLDOUT,2427,0.21745087855976092,1.0804224762394234,0.048688919826850474,0.6694075454486258,0.438401318500206
logistic,TRAIN,0,,,,,
logistic,VALIDATION,2295,0.20689370810626612,1.0341859541350513,0.048401060641667305,2.1442208797253945,0.4906318082788671
logistic,TEST,1756,0.21055584259926705,1.0497091012547068,0.0390540267576626,1.4665774324527376,0.4675398633257403
logistic,HOLDOUT,2801,0.20789837942610467,1.0386445814331473,0.04435627919713422,2.186763761825266,0.47732952516958227
ensemble,TRAIN,3647,0.20888086990995477,1.0426273573580718,0.06553143200729342,2.991736766504311,0.4792980531944064
ensemble,VALIDATION,2295,0.205248154187134,1.0275522850089422,0.08703428752240863,2.8208635940516062,0.5193899782135076
ensemble,TEST,1756,0.20895505160377492,1.0434970014463407,0.06734122445529533,2.6791268005299296,0.4886104783599089
ensemble,HOLDOUT,2801,0.20677370817724558,1.0342047878455933,0.07027006324044023,2.817437641488849,0.5033916458407711
