TASK 055 — FINAL CONSOLIDATION VERDICT
FINAL_VERDICT: UNIVERSAL_24_7_SPORTS_INTELLIGENCE_BRAIN_READY
SYSTEM_STATUS: HEALTHY
SUPERVISOR_ALIVE: true
WORKER_ALIVE: true
HEARTBEAT_FRESH: true
AUTOSTART_VERIFIED: true
ACTIVE_MECHANISM: StartupOnly
NO_DUPLICATE_WORKERS: true
TOTAL_EVENTS: 445
UNIQUE_EVENTS: 385
EVENTS_TODAY: 34
EVENTS_NEXT_24H: 20
EVENTS_NEXT_72H: 77
EVENTS_NEXT_7D: 298
EVENTS_NEXT_30D: 376
PREDICTIONS: 385
BET_CANDIDATES: 0
STRONG_CANDIDATES: 0
NO_BET: 385
MARKETS_ANALYZED: 4
QUOTES: 172213
SNAPSHOTS: 239194
LOCKED: 131
SETTLED: 2
AUTOPSIES: 2
LEARNING_CASES: 0
ERROR_PATTERNS: 1
COUNTERFACTUALS: 0
PAPER_CAPITAL: 1000
PAPER_PNL: 0
PAPER_ROI: 0
PAPER_INITIAL_CAPITAL: 1000
MODEL_VERSION: MODEL_v2_DECISION_ENGINE
CHALLENGERS: 1
MODEL_EDGE: UNKNOWN
REAL_MONEY: false
AUTO_PROMOTION: false
CAPITAL: PAPER_ONLY
ARTIFICIAL_CAP: false
LAB_A_MUTATION: false
LEAKAGE: PASS
REPRODUCIBILITY: PASS
MULTI_SPORT_ADAPTERS: READY
MULTI_MARKET_ENGINE: READY
SETTLEMENT: READY
AUTOPSY: READY
LEARNING: READY
COUNTERFACTUAL: READY
CONTROL_CENTER: READY
CURRENT_WORK_VISIBLE: true
BUDGET_FIREWALL: PASS
RECOVERY: READY
CURRENT_ACTIVITY: IDLE
open_task_056: false
SOURCE_STATUS: THE_ODDS_API=ACTIVE · SOFASCORE=DISABLED_BY_POLICY · FLASHSCORE=DISABLED_BY_POLICY · SOCCERWAY=DISABLED_BY_POLICY · DIRECTA=DISABLED_BY_POLICY
SPORT_STATUS: SOCCER=ACTIVE(385) · TENNIS=EMPTY_WINDOW(0) · BASKETBALL=EMPTY_WINDOW(0) · VOLLEYBALL=PROVIDER_UNAVAILABLE(0) · HOCKEY=EMPTY_WINDOW(0) · OTHER=AVAILABLE(0)
