column_name,type,non_null_count,null_count,null_percentage,unique_count,min,max,sample_values,feature_class,bookmaker_kind,odds_temporal_class,usage_mode,original_source,source_type,provenance_confidence,event_time,observation_time,availability_time,temporal_precision
Division,string,238858,0,0,38,ARG,USA,F1|F2|T1|D1|D2,RAW,NOT_ODDS,UNKNOWN,STRICT_AS_OF,football-data.co.uk (declared),aggregator,partially_verified,match identity fields,unknown,unknown,unknown
MatchDate,date,238858,0,0,7697,2000-07-28,2026-09-03,2000-07-28|2000-07-29|2000-08-03|2000-08-04|2000-08-05,RAW,NOT_ODDS,UNKNOWN,STRICT_AS_OF,football-data.co.uk (declared),aggregator,partially_verified,claimed scheduled kickoff components (timezone claim: CET-1 — unverified),unknown,unknown — must not treat as quote/feature availability,date_only
MatchTime,time,107373,131485,55.047,201,00:00:00,23:50:00,03:00:00|04:00:00|13:00:00|16:30:00|17:00:00,RAW,NOT_ODDS,UNKNOWN,STRICT_AS_OF,football-data.co.uk (declared),aggregator,partially_verified,claimed scheduled kickoff components (timezone claim: CET-1 — unverified),unknown,unknown — must not treat as quote/feature availability,unknown
HomeTeam,string,238858,0,0,1219,A. Klagenfurt,Zwolle,Marseille|Paris SG|Wasquehal|Auxerre|Bordeaux,RAW,NOT_ODDS,UNKNOWN,STRICT_AS_OF,football-data.co.uk (declared),aggregator,partially_verified,match identity fields,unknown,unknown,unknown
AwayTeam,string,238858,0,0,1221,A. Klagenfurt,Zwolle,Troyes|Strasbourg|Nancy|Sedan|Metz,RAW,NOT_ODDS,UNKNOWN,STRICT_AS_OF,football-data.co.uk (declared),aggregator,partially_verified,match identity fields,unknown,unknown,unknown
HomeElo,number,149898,88960,37.244,50000,1103.13,2107.48,1686.34|1714.89|1465.08|1635.58|1734.34,DERIVED_REQUIRES_RECONSTRUCTION,NOT_ODDS,UNKNOWN,RESEARCH_DATASET,clubelo.com through 2025-06-01; provisional repo continuation thereafter,rating_provider,suspect,n/a (rating state),claimed 'most recent Elo'; ClubElo bi-monthly snapshots + provisional continuation after 2025-06-01,unknown exact; at best snapshot date ≤ match date if join is correct,dataset_window
AwayElo,number,149829,89029,37.273,50000,1103.13,2107.48,1586.57|1642.51|1633.8|1624.22|1673.11,DERIVED_REQUIRES_RECONSTRUCTION,NOT_ODDS,UNKNOWN,RESEARCH_DATASET,clubelo.com through 2025-06-01; provisional repo continuation thereafter,rating_provider,suspect,n/a (rating state),claimed 'most recent Elo'; ClubElo bi-monthly snapshots + provisional continuation after 2025-06-01,unknown exact; at best snapshot date ≤ match date if join is correct,dataset_window
Form3Home,number,237334,1524,0.638,9,0,9,0.0|9.0|3.0|5.0|2.0,DERIVED_REQUIRES_RECONSTRUCTION,NOT_ODDS,UNKNOWN,RESEARCH_DATASET,derived in repository from match results,derived,unknown,prior matches' results,unknown (formula claimed pre-match; not independently verified),unknown until reconstructed with shift,unknown
Form5Home,number,237323,1535,0.643,15,0,15,0.0|15.0|5.0|8.0|3.0,DERIVED_REQUIRES_RECONSTRUCTION,NOT_ODDS,UNKNOWN,RESEARCH_DATASET,derived in repository from match results,derived,unknown,prior matches' results,unknown (formula claimed pre-match; not independently verified),unknown until reconstructed with shift,unknown
Form3Away,number,237335,1523,0.638,9,0,9,0.0|3.0|9.0|2.0|5.0,DERIVED_REQUIRES_RECONSTRUCTION,NOT_ODDS,UNKNOWN,RESEARCH_DATASET,derived in repository from match results,derived,unknown,prior matches' results,unknown (formula claimed pre-match; not independently verified),unknown until reconstructed with shift,unknown
Form5Away,number,237324,1534,0.642,15,0,15,0.0|5.0|15.0|3.0|8.0,DERIVED_REQUIRES_RECONSTRUCTION,NOT_ODDS,UNKNOWN,RESEARCH_DATASET,derived in repository from match results,derived,unknown,prior matches' results,unknown (formula claimed pre-match; not independently verified),unknown until reconstructed with shift,unknown
FTHome,number,238854,4,0.002,11,0,10,3.0|0.0|1.0|2.0|6.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
FTAway,number,238854,4,0.002,11,0,13,1.0|2.0|0.0|3.0|5.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
FTResult,string,238854,4,0.002,3,A,H,H|A|D,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
HTHome,number,184278,54580,22.85,8,0,7,2.0|1.0|0.0|3.0|4.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
HTAway,number,184278,54580,22.85,8,0,7,1.0|0.0|2.0|4.0|3.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
HTResult,string,184278,54580,22.85,3,A,H,H|D|A,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
HomeShots,number,122483,116375,48.721,46,0,46,17.0|14.0|15.0|18.0|11.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
AwayShots,number,122486,116372,48.72,40,0,45,5.0|11.0|18.0|9.0|3.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
HomeTarget,number,121677,117181,49.059,27,0,31,7.0|6.0|5.0|2.0|4.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
AwayTarget,number,121680,117178,49.058,23,0,23,2.0|5.0|7.0|3.0|8.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
HomeFouls,number,121721,117137,49.04,42,0,145,25.0|13.0|22.0|0.0|9.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
AwayFouls,number,121721,117137,49.04,41,0,77,19.0|12.0|17.0|0.0|8.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
HomeCorners,number,122111,116747,48.877,26,0,26,7.0|4.0|5.0|6.0|3.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
AwayCorners,number,122111,116747,48.877,23,0,23,3.0|9.0|7.0|5.0|4.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
HomeYellow,number,127598,111260,46.58,12,0,11,1.0|2.0|0.0|3.0|4.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
AwayYellow,number,127599,111259,46.58,11,0,10,5.0|1.0|0.0|2.0|3.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
HomeRed,number,127599,111259,46.58,4,0,3,0.0|1.0|2.0|3.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
AwayRed,number,127597,111261,46.58,6,0,9,0.0|1.0|2.0|3.0|4.0,POST_MATCH,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,football-data.co.uk (declared),aggregator,partially_verified,match window / final whistle,unknown (post-match publication time not in dataset),unknown; semantically after kickoff,unknown
OddHome,number,235816,3042,1.274,1267,0,53.18,1.65|1.6|1.7|2.25|2.75,LEAKAGE_RISK,BOOKMAKER,UNKNOWN,BENCHMARK_ONLY,Bet365 via football-data.co.uk (declared),bookmaker_feed,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
OddDraw,number,235816,3042,1.274,955,1.29,22.55,3.3|3.4|3.0|3.1|4.0,LEAKAGE_RISK,BOOKMAKER,UNKNOWN,BENCHMARK_ONLY,Bet365 via football-data.co.uk (declared),bookmaker_feed,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
OddAway,number,235816,3042,1.274,2012,1.01,71.71,4.3|4.6|3.9|2.75|2.25,LEAKAGE_RISK,BOOKMAKER,UNKNOWN,BENCHMARK_ONLY,Bet365 via football-data.co.uk (declared),bookmaker_feed,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
MaxHome,number,211211,27647,11.575,1199,1.02,126,1.6|2.2|2.1|2.6|2.05,LEAKAGE_RISK,AGGREGATE,UNKNOWN,BENCHMARK_ONLY,Max across ~17 European bookmakers via football-data.co.uk (declared),aggregator,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
MaxDraw,number,211211,27647,11.575,1041,1.2,47,3.85|2.85|3.1|2.9|3.2,LEAKAGE_RISK,AGGREGATE,UNKNOWN,BENCHMARK_ONLY,Max across ~17 European bookmakers via football-data.co.uk (declared),aggregator,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
MaxAway,number,211211,27647,11.575,1939,0,301,9.0|4.3|4.65|3.1|4.4,LEAKAGE_RISK,AGGREGATE,UNKNOWN,BENCHMARK_ONLY,Max across ~17 European bookmakers via football-data.co.uk (declared),aggregator,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
Over25,number,156687,82171,34.402,232,1.09,3.95,2.11|2.26|2.29|2.3|2.36,LEAKAGE_RISK,BOOKMAKER,UNKNOWN,BENCHMARK_ONLY,Bet365 via football-data.co.uk (declared),bookmaker_feed,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
