fixture_id,kickoff,odds_known_at,bookmaker,source,delta_seconds,temporal_class
255663,2020-12-13T00:00:00,2020-12-13T00:00:00,Pinnacle,API-Football-closing,0,MIDNIGHT_PLACEHOLDER
217882,2020-12-13T20:00:00,2020-12-13T20:00:00,Pinnacle,API-Football-closing,0,CLOSING_AT_KICKOFF
21023,2021-02-05T00:00:00,2021-02-05T00:00:00,Bet365,CSV,0,MIDNIGHT_PLACEHOLDER
209707,2020-12-13T19:45:00,2020-12-13T19:45:00,Bet365,CSV,0,CLOSING_AT_KICKOFF
93502,2024-11-12T00:00:00,2024-11-12T00:00:00,Pinnacle,The-Odds-API,0,MIDNIGHT_PLACEHOLDER
150008,2022-11-03T17:45:00,2022-11-03T17:45:00,Pinnacle,The-Odds-API,0,CLOSING_AT_KICKOFF
378153,2026-03-08T00:00:00,2026-03-08T00:00:00,Bet365,API-Football,0,MIDNIGHT_PLACEHOLDER
375504,2026-02-22T17:30:00,2026-02-22T17:30:00,Bet365,API-Football,0,CLOSING_AT_KICKOFF
285055,2017-11-04T07:00:00,2017-11-04T07:00:00,Maximum,API-Football-closing,0,CLOSING_AT_KICKOFF
291859,2025-11-09T13:00:00,2025-11-09T13:00:00,Betfair Exchange,API-Football-closing,0,CLOSING_AT_KICKOFF
M001,2017-04-30T13:05:00.000Z,2017-04-30T11:10:52.099Z,Betfair Exchange,historicdata.betfair.com,-6848,STRICT_PREMATCH
