SOURCE,URL,WHAT_FOUND,DOWNLOADABLE,FORMAT,TIMESTAMP,KICKOFF,MATCHABLE,EVENT_COUNT,STRICT_COUNT,LICENSE_STATUS,CLASS
kaggle-austro-odds-series,https://www.kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset,"Public redistribution of BeatTheBookie odds_series + odds_series_b (gzip CSV, 72 hourly bins × 32 bookies) plus match clocks. v2 zip ~88MB already on disk.",true,csv.gz in zip,relative hourly LOCF bins (PHP); absolute odds_datetime not in flattened CSV,naive match_datetime in matches files; TZ undocumented → not LEVEL A,home/away/league/date — MATCH_EXACT vs soccer-dataset UTC kickoff,128252,10499,upstream GitHub GPL-3.0; Kaggle page license field not independently CC-verified; dump gitignored,VALID
Lisandro79/BeatTheBookie,https://github.com/Lisandro79/BeatTheBookie,README + generate_odds_series_csv.php / generate_odds_series_b_csv.php / unpack.py / MATLAB. Declares odds_series ≈31074 and odds_series_b ≈82786 continuous series. No SQL dump in git.,false,PHP/MATLAB/README,odds_datetime in SQL; CSV bins relative to matches.date,matches.date datetime TZ undocumented,match_id,113860,0,GPL-3.0,PARTIAL
dropbox-odds_series.zip,https://www.dropbox.com/s/gqp3m6o5zsd8v63/odds_series.zip?dl=0,HTML interstitial / not a PK zip (TASK 022/024). Wayback CDX empty for this hash.,false,html,n/a,n/a,n/a,0,0,ACCESS_BLOCKED,ACCESS_BLOCKED
dropbox-odds_series_b.zip,https://www.dropbox.com/s/t26rwzvlwtt6xnb/odds_series_b.zip?dl=0,HTML interstitial. Not acquired.,false,html,n/a,n/a,n/a,0,0,ACCESS_BLOCKED,ACCESS_BLOCKED
dropbox-odds_series_sql_db.zip,https://www.dropbox.com/s/sftxhxq03jd12j6/odds_series_sql_db.zip?dl=0,HTML interstitial. Absolute odds_datetime lives here — not acquired.,false,html,SQL odds_datetime (would still need TZ),matches.date TZ undocumented,SQL schema,,0,ACCESS_BLOCKED,ACCESS_BLOCKED
dropbox-odds_series_b_sql_db.zip,https://www.dropbox.com/s/x6aookfjw25ne6q/odds_series_b_sql_db.zip?dl=0,HTML interstitial. Not acquired.,false,html,SQL,undocumented TZ,SQL schema,,0,ACCESS_BLOCKED,ACCESS_BLOCKED
google-drive-beatthebookie-folder,https://drive.google.com/drive/folders/0B3zgn2ueCERNWnJRSnpIQTBDWEU,Login/HTML gate. Credentials not used.,false,html,n/a,n/a,n/a,,0,ACCESS_BLOCKED,ACCESS_BLOCKED
TilenKopac/beat-the-bookie-kaggle,https://github.com/TilenKopac/beat-the-bookie-kaggle,closing_odds.csv only (~69MB). DATE_ONLY / closing. No odds_series gzip.,true,csv,closing label,date/time naive,teams/date,479440,0,same Kaggle austro cluster,RESEARCH_ONLY
danimaldonado/BeatTheBookie,https://github.com/danimaldonado/BeatTheBookie,Fork copies README Dropbox links. No data dumps in git.,false,git fork,none,none,none,0,0,GPL-3.0 fork,PARTIAL
gedewon/BeatTheBookie,https://github.com/gedewon/BeatTheBookie,"Fork, GPL-3.0, no odds_series dump.",false,git fork,none,none,none,0,0,GPL-3.0,PARTIAL
eatpizzanot/soccer-dataset fixtures.parquet,https://huggingface.co/datasets/eatpizzanot/soccer-dataset,Kickoff date_utc documented UTC (tz-naive stored). Used as LEVEL B SOURCE kickoff. odds.known_at equals kickoff — not prematch quotes.,true,parquet,odds.known_at = kickoff (CLOSING),date_utc SOURCE UTC,home/away/date,673966,0,CC BY 4.0,PARTIAL
kaggle-realsingwong-ah,https://www.kaggle.com/datasets/realsingwong/european-football-asian-handicap-odds-time-series,Public zip is 90-match SAMPLE with YYYYMMDDHHmmss clocks. License UNKNOWN. No kickoff. Chinese names.,true,csv zip,EXACT SOURCE (sample),absent,ambiguous,90,0,UNKNOWN,UNLICENSED_FOR_REPO
zenodo-ucd-12673394,https://zenodo.org/records/12673394,football-data.co.uk lineage DATE_ONLY. CC-BY-4.0. Research only.,true,zip/csv,DATE_ONLY,date,teams/date,131433,0,CC-BY-4.0,RESEARCH_ONLY
Club-Football-Match-Data,https://github.com/xgabora/Club-Football-Match-Data,238k matches. Odd* DATE_ONLY. Form*/C_* forbidden in STRICT. Used for optional overlay / settlement identity.,true,csv,DATE_ONLY,MatchDate + MatchTime (CET-1 claim unverified),teams/date,238858,0,local clone,RESEARCH_ONLY
petermclagan/betfair-historical,https://github.com/petermclagan/betfair-historical,1 MIRROR MATCH_ODDS football sample with publishTime. Not licensed CAPITAL_STRICT. Engine only.,true,bz2/ndjson fixture,SOURCE publishTime,marketTime,event name,1,0,MIRROR not redistribution license for capital,UNLICENSED_FOR_REPO
historicdata.betfair.com,https://historicdata.betfair.com/,Official Historic BASIC/ADVANCED. Account/purchase. Credentials not used.,false,bz2 MCM,publishTime,marketTime,eventId,,0,ACCESS_BLOCKED,ACCESS_BLOCKED
5DollarFootballAPI,https://api.5dollarfootballapi.com/v1/status,401 without key. No signup performed.,false,json api,unknown,unknown,unknown,,0,ACCESS_BLOCKED,ACCESS_BLOCKED
OddsPapi,https://api.oddspapi.io/v4/sports,401 without key. No signup.,false,json api,unknown,unknown,unknown,,0,ACCESS_BLOCKED,ACCESS_BLOCKED
arxiv-1710.02824,https://arxiv.org/pdf/1710.02824.pdf,"Paper describing BeatTheBookie series. Dataset pointers are Dropbox/Kaggle, not a new dump.",true,pdf,described,described,n/a,,0,paper,PARTIAL
football-data.co.uk,https://www.football-data.co.uk/,Closing odds by match date. DATE_ONLY. Research cluster.,true,csv,DATE_ONLY / closing,date,teams/date,,0,site terms,RESEARCH_ONLY
